DATE,TIME,USER,PRODUCTION ORDER NUMBER,SKU,FORMULATION,AVERAGE TARE WEIGHT,CAN NET WEIGHT,DENOMINATION
10/6/2025,9:18 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.908,kg
10/6/2025,9:18 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.901,kg
10/6/2025,9:19 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.906,kg
10/6/2025,9:19 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.895,kg
10/6/2025,9:20 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.895,kg
10/6/2025,9:20 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.904,kg
10/6/2025,9:21 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.904,kg
10/6/2025,9:21 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.898,kg
10/6/2025,9:22 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.902,kg
10/6/2025,9:22 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.896,kg
10/6/2025,9:22 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.893,kg
10/6/2025,9:23 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.9,kg
10/6/2025,9:23 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.901,kg
10/6/2025,9:24 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.917,kg
10/6/2025,9:24 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.902,kg
10/6/2025,9:25 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.899,kg
10/6/2025,9:25 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.895,kg
10/6/2025,9:26 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.9,kg
10/6/2025,9:26 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.896,kg
10/6/2025,9:27 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.899,kg
10/6/2025,9:27 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.891,kg
10/6/2025,9:27 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.894,kg
10/6/2025,9:28 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.897,kg
10/6/2025,9:28 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.895,kg
10/6/2025,9:29 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.896,kg
10/6/2025,9:29 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.893,kg
10/6/2025,9:30 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.893,kg
10/6/2025,9:30 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.896,kg
10/6/2025,9:31 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.896,kg
10/6/2025,9:31 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.903,kg
10/6/2025,9:32 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.898,kg
10/6/2025,9:32 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.903,kg
10/6/2025,9:32 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.902,kg
10/6/2025,9:33 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.904,kg
10/6/2025,9:33 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.895,kg
10/6/2025,9:34 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.9,kg
